ASSAY_ID,assay_chembl_id,8,16,32,64,96
688267,CHEMBL1614530,0.10+/-0.10,0.14+/-0.11,0.13+/-0.10,0.14+/-0.11,0.22+/-0.11
600886,CHEMBL1040692,0.07+/-0.09,0.09+/-0.09,0.11+/-0.10,0.14+/-0.09,0.14+/-0.10
737826,CHEMBL1741325,0.13+/-0.13,0.17+/-0.17,0.24+/-0.15,0.27+/-0.13,0.25+/-0.14
737824_1,CHEMBL1741323,0.15+/-0.13,0.17+/-0.14,0.21+/-0.12,0.27+/-0.12,0.27+/-0.14
737825,CHEMBL1741324,0.07+/-0.09,0.08+/-0.10,0.13+/-0.12,0.14+/-0.12,0.17+/-0.13
1495405,CHEMBL3562136,0.13+/-0.13,0.20+/-0.13,0.27+/-0.13,0.30+/-0.12,0.33+/-0.12
737053,CHEMBL1738598,0.04+/-0.08,0.05+/-0.09,0.08+/-0.08,0.06+/-0.08,0.08+/-0.08
737400,CHEMBL1738606,0.07+/-0.09,0.13+/-0.10,0.12+/-0.10,0.16+/-0.11,0.20+/-0.10
736947,CHEMBL1738312,0.05+/-0.09,0.06+/-0.08,0.06+/-0.08,0.08+/-0.07,0.10+/-0.07
752347,CHEMBL1794311,0.09+/-0.07,0.11+/-0.07,0.14+/-0.05,0.17+/-0.04,0.16+/-0.05
752496,CHEMBL1794486,0.07+/-0.10,0.10+/-0.11,0.12+/-0.10,0.15+/-0.10,0.17+/-0.09
752509,CHEMBL1794499,0.12+/-0.13,0.14+/-0.12,0.16+/-0.11,0.18+/-0.13,0.20+/-0.11
752594,CHEMBL1794584,0.29+/-0.12,0.33+/-0.10,0.36+/-0.08,0.37+/-0.08,0.40+/-0.07
809095,CHEMBL1964081,0.07+/-0.08,0.14+/-0.11,0.20+/-0.11,0.23+/-0.10,0.25+/-0.09
845173,CHEMBL2114784,0.28+/-0.12,0.33+/-0.08,0.41+/-0.06,0.41+/-0.06,0.42+/-0.06
845196,CHEMBL2114807,0.13+/-0.09,0.14+/-0.08,0.17+/-0.07,0.19+/-0.07,0.22+/-0.07
954338,CHEMBL2354287,0.04+/-0.08,0.05+/-0.08,0.06+/-0.08,0.06+/-0.09,0.06+/-0.08
845206,CHEMBL2114817,0.08+/-0.11,0.10+/-0.10,0.16+/-0.12,0.16+/-0.10,0.20+/-0.11
